Control Code,Control Name,Control Description,Control Question,Control Activities,Control Owners,Template Required,Is Ready,SOC 2 2017
DCF-83,NoSQL Database Monitored and Alarmed,Nexelus has implemented tools to monitor Nexelus's NoSQL databases and notify appropriate personnel of any events or incidents based on predetermined criteria. Incidents are escalated per policy.,Does the organization implement tools to monitor its NoSQL databases and notify appropriate personnel of incidents based on predetermined criteria?,,N/A,,Not Ready,A1.1
DCF-135,Notice of Breach to Affected Users,Nexelus has a process for providing notice of breaches and incidents to affected data subjects to meet Nexelus's objectives related to privacy.,Does the organization have a process for providing notice of breaches to affected data subjects?,,NSS Lead,,Not Ready,P6.6
DCF-86,Operational Audit,Nexelus's cloud infrastructure is monitored through an operational audit system that sends alerts to appropriate personnel,Does the organization monitor its cloud infrastructure through an operational audit system that sends alerts to appropriate personnel?,,Peter,,Not Ready,"A1.1, CC7.2"
DCF-14,Organizational Chart Maintained,"Nexelus reviews its organizational structure, reporting lines, authorities, and responsibilities in terms of information security on an annual basis.",Does the organization maintain an organizational chart dictating reporting lines and structure?,"Annually review and update organizational structure with reporting lines, authorities, and responsibilities in terms of Information Security.",Arshad,,Not Ready,"CC5.1, CC3.4, CC1.3"
DCF-33,Oversight of Security Controls,Management reviews security policies on an annual basis.,"Does the organization ensure managers regularly review the processes and documented procedures within their area of responsibility to adhere to appropriate security policies, standards and other applicable requirements?",,NSS Team,,Ready,"CC1.2, CC5.3"
DCF-49,Password Manager,Nexelus ensures that a password manager is installed on all company-issued laptops.,Does the organization protect and store passwords via a password manager tool?,,Peter,,Ready,CC6.1
DCF-68,Password Policy,Nexelus has established formal guidelines for passwords to govern the management and use of authentication mechanisms.,Does the organization maintain a password policy enforcing the use of strong passwords and/or MFA?,,Peter / ArifK,,Ready,"C1.1, CC6.1, CC6.6"
DCF-60,Password Storage,Nexelus's application user passwords are stored using a salted password hash.,"Does the organization remove, mask, encrypt, hash or replace direct identifiers in a dataset?",,Dev Team,Implemented,Ready,CC6.1
DCF-147,Physical Access to Facilities is Protected,Nexelus has security policies that have been approved by management and detail how physical access to the company's headquarters is maintained. These policies are accessible to all employees and contractors.,"Does the organization identify, authorize and monitor visitors before allowing access to the facility (other than areas designated as publicly accessible)?","1. Company maintains a physical security policy
2. A card-based physical access control system is in place within the perimeter of facilities and at the entry and exit points of sensitive areas within these facilities, including areas containing backup media
3. Visitors must be signed in by an authorized workforce member before a visitor badge that identifies them as an authorized visitor can be issued.",,,Ready,CC6.4
DCF-94,Physical Security,Nexelus has security policies that have been approved by management and detail how physical security for the company's headquarters is maintained. These policies are accessible to all employees and contractors.,Does the organization have controls in place that detail how physical security is maintained?,1. Company maintains a physical security policy,,,Ready,CC6.4
DCF-129,PII with 3rd Parties and Vendors,Nexelus maintains a documented list of third parties and vendors that are authorized to receive or access PII,Does the organization maintain a list of third parties authorized to receive or access PII?,,Imran / Peter,,Ready,P6.2
DCF-136,Privacy Policy Includes 3rd Party Vendors,Nexelus's privacy practices posted on their website include the list of third parties authorized to receive personal information.,Does the organization's privacy practices list third parties authorized to receive personal information?,,Imran / Peter,,Not Ready,P6.7
DCF-115,Privacy Policy Inclusions,"Nexelus's Privacy Policy includes:
-Purpose for collecting personal information
-Choice and consent
-Types of personal information collected
-Methods of collection (for example, use of cookies or other tracking techniques)
-Use, retention, and disposal
-Access
-Disclosure to third parties
-Security for privacy
-Quality, including data subjects' responsibilities for quality
-Monitoring and enforcement","Does the organization include purpose of collecting personal information, choice and consent, and types of information collected in its privacy policy?",,N/A,,Not Ready,"P2.1, P1.1"
DCF-114,Privacy Policy Publicly Available,Nexelus communicates its Privacy Policy on its public-facing website.,Does the organization communicate its privacy policy on its public-facing website?,,Tauseef,To be added to Nexelus Website,Not Ready,"P2.1, P1.1"
DCF-6,Production Code Changes Restricted,Only authorized Nexelus personnel can push or make changes to production code.,Does the organization enforce configuration restrictions in an effort to restrict the ability of users to conduct unauthorized changes?,Restrict changes to production code to authorized personnel only.,Peter,Implemented in TFS,Ready,CC8.1
DCF-156,Production Code Released by Appropriate Personnel,Nexelus ensures that releases are approved by appropriate members of management prior to production release.,Does the organization limit the release of production code changes to appropriate personnel?,1. Production releases are managed by appropriate personnel and evidenced within the version control system,Peter,Implemented in TFS,Ready,CC8.1
DCF-112,Provide Notice of Privacy Practices,Nexelus provides notice of its privacy practices to users prior to users entering information into its application.,Does the organization provide notice of its privacy practices to users prior to users entering information into its application?,,N/A,,Not Ready,"P2.1, P1.1"
DCF-121,Purposeful Use Only,Nexelus only uses personal information for the purposes identified in the entity's privacy policy.,Does the organization use personal information for only the purposes identified in the privacy policy?,,Tauseef,,Not Ready,P4.1
DCF-142,Quarterly Review of Privacy Compliance,Executive management meets on a quarterly basis to review compliance with privacy practices and privacy regulations.,Does the organization's management meet quarterly to review compliance with privacy practices and regulations?,,NSS Team,,Not Ready,P8.1
DCF-18,Quarterly Vulnerability Scan,Nexelus engages with third-party to conduct vulnerability scans of the production environment at least quarterly. Results are reviewed by management and high priority findings are tracked to resolution.,Does the organization detect vulnerabilities and configuration errors by recurring vulnerability scanning of systems and web applications?,"1. Enable 3rd party web application scanning solution and/or AWS Inspector / Azure Security Center - Vulnerability Assessment / Google Cloud Security Scanner
2. Review findings and results of scans
3. Create remediation plan(s) based on results of scans
4. Implement the remediation plan(s)",Peter / Shafiq / Tao,,Ready,"CC5.1, CC1.2, CC3.1, CC3.2, CC3.4, CC4.1, CC4.2, CC5.2, CC7.1, CC7.2"
DCF-148,Regression Testing in Place,Nexelus does application regression testing to validate key processing for the application during the change management process.,Does the organization perform regression testing to validate key processing during the change management process?,,QA,,Not Ready,"PI1.3, PI1.4"
DCF-17,Remediation Plan,Nexelus's Management prepares a remediation plan to formally manage the resolution of findings identified in risk assessment activities.,"Does the organization respond to findings from security and privacy assessments, incidents and audits to ensure proper remediation has been performed?","Respond to findings from security and privacy assessments, incidents and audits to ensure proper remediation is being performed.",NSS Team,Template Required,Ready,"CC5.1, CC3.2, CC3.3, CC5.2, CC4.2"
DCF-149,Removable Media Device Encryption,Nexelus ensures that company-issued removable media devices (USB drives) are encrypted.,Does the organization restrict removable media in accordance with data handling and acceptable usage parameters?,1. Ensure all company-issued USB drives are encrypted,Tauseef,Policy needs to be established,Ready,CC6.7
DCF-122,Requests for Deletion,Nexelus captures requests for deletion of personal information and information related to the requests is appropriately deleted.,Does the organization capture requests for deletion of personal information?,,N/A,,Not Ready,P4.3
DCF-124,Require Authentication for Access,Users accessing their personal information through Nexelus's application must be authenticated with a username and password.,Does the organization require that users accessing personal information through the application must be authenticated with a username and password?,,Asim,Implemented,Not Ready,P5.1
DCF-3,Require Encryption of Web-Based Admin Access,Nexelus uses encryption to protect user authentication and admin sessions of the internal admin tool transmitted over the Internet.,Does the organization use encryption to protect user authentication on any internal administrator tools?,Use encryption to protect user authentication and web-based admin sessions.,Peter,,Ready,CC6.7
DCF-113,Review Privacy Notice Annually,Nexelus's management reviews the privacy notice to ensure that the privacy notice is accurate.,Does the organization review its privacy notice annually to ensure accuracy?,,NSS Team,,Not Ready,P1.1
DCF-15,Risk Assessment Policy,Nexelus has defined a formal risk management process that specifies risk tolerances and the process for evaluating risks based on identified threats and the specified tolerances.,"Does the organization conduct an annual assessment of risk that includes the likelihood and magnitude of harm, from unauthorized access, use, disclosure, disruption, modification or destruction of the organization's systems and data?","Establish a formal risk assessment policy with:
1. Outlined risk tolerances
2. Evaluation process based on identified threats and specified tolerances",Tauseef / NSS Team,,Ready,"CC9.1, CC3.1, CC5.3, CC5.1, CC4.2, CC4.1, CC3.4, CC3.3, CC3.2"
DCF-59,Role-Based Security Implementation,"Role-based security is in place for internal and external users, including super admin users.",Does the organization enforce a Role-Based Access Control (RBAC) policy over users and resources?,,,,Ready,"C1.1, CC6.1, CC6.3, PI1.4"
DCF-90,Root Infrastructure Account Unused,Nexelus does not use Root Account on Infrastructure provider,Does the organization leave the Root Account on its infrastructure provider unused?,,,,Not Ready,CC7.2
DCF-23,Security Issues are Prioritized,Nexelus tracks and prioritizes security deficiencies through internal tools according to their severity by an independent technical resource.,"Does the organization ensure that vulnerabilities are properly identified, tracked and remediated?",,,,Ready,"CC7.2, CC7.3, CC7.4, CC7.5"
DCF-51,Security Patches Automatically Applied,Nexelus's workstations operating system (OS) security patches are applied automatically.,Does the organization validate software versions/patch levels and control devices connecting to corporate networks or storing and accessing organization information?,,,,Ready,CC6.8
DCF-32,Security Policies,"Nexelus Management has approved security policies, and all employees accept these procedures when hired. Management also ensures that security policies are accessible to all employees and contractors.","Does the organization establish, maintain and disseminate cybersecurity and privacy policies, standards and procedures?",,,,Ready,"CC1.1, CC2.2, CC5.2, CC5.3"
DCF-35,Security Team Communicates in a Timely Manner,The security team communicates important information security events to company management in a timely manner.,Does the organization ensure effective communication of security events to management in an efficient manner?,"Tools such as Slack, PagerDuty, Drata to streamline and in many cases automate communication of security events",,,Ready,"CC7.3, CC2.2"
DCF-34,Security Team/Steering Committee,"Nexelus has an assigned security team that is responsible for the design, implementation, management, and review of the organization's security policies, standards, baselines, procedures, and guidelines.",Does the organization provide a security controls oversight function?,"1. Monthly meeting minutes of steering committee where they discuss security goals, initiatives and projects, including remediation of vulnerabilities",,,Ready,"CC1.2, CC1.3, CC4.2, CC5.2, CC5.1"
DCF-36,Security Training,"Nexelus has established training programs for privacy and information security to help employees understand their obligations and responsibilities to comply with Nexelus's security policies and procedures, including the identification and reporting of incidents. All full-time employees are required to complete the training upon hire and annually thereafter.","Does the organization provide role-based security and privacy awareness training that is specific to the cyber threats that the user might encounter the user's specific day-to-day business operations?

Does the organization document, retain and monitor individual training activities, including basic security awareness training, ongoing awareness training and specific-system training?","Mechanisms exist to provide role-based security-related training: 
1. Upon hire
2. Before authorizing access to the system or performing assigned duties; 
3. When required by system changes; and 
4. Annually thereafter, at the least",,,Ready,"CC1.4, CC1.5, CC5.2, CC2.2"
DCF-7,Separate Testing and Production Environments,Separate environments are used for testing and production for Nexelus's application,"Does the organization manage separate development, testing and operational environments to reduce the risks of unauthorized access or changes to the operational environment and to ensure no impact to production systems?",Use separate environments for application testing and production.,,,Ready,CC8.1
DCF-84,Servers Monitored and Alarmed,Nexelus has implemented tools to monitor Nexelus's servers and notify appropriate personnel of any events or incidents based on predetermined criteria. Incidents are escalated per policy.,Does the organization implement tools to monitor its servers and notify appropriate personnel of incidents based on predetermined criteria?,,,,Not Ready,A1.1
DCF-151,Service Providers Acknowledge Security Responsibilities,Nexelus ensures that file integrity monitoring (FIM) software is in place to detect whether operating system and application software files have been tampered with.,Does the organization utilize a File Integrity Monitor (FIM) or similar change-detection technology on critical assets to generate alerts for unauthorized modifications?,,,,Not Ready,"CC2.1, CC6.8"
DCF-48,Session Lock,Nexelus ensures that all company-issued computers use a screensaver lock with a timeout of no more than 15 minutes.,"Does the organization initiate a session lock after an organization-defined time period of inactivity, or upon receiving a request from a user and retain the session lock until the user reestablishes access using established identification and authentication methods?",,,,Ready,CC6.6
DCF-24,SLA for Security Bugs,Nexelus tracks security deficiencies through internal tools and closes them within an SLA that management has pre-specified.,Does the organization identify and assign a risk ranking to newly discovered security vulnerabilities and prioritize remediation based on the ranking?,,,,Ready,CC2.3
DCF-31,Software Development Life Cycle Policy,"Nexelus has developed policies and procedures governing the system development life cycle, including documented policies for tracking, testing, approving, and validating changes.","Does the organization have a process for tracking, testing, approving, and validating changes?",,,,Ready,CC8.1
DCF-55,SSL/TLS Enforced,Nexelus ensures that all connections to its web application from its users are encrypted.,"Does the organization ensure all web application content is delivered using cryptographic mechanisms (e.g., TLS)?",,,,Ready,"C1.1, CC6.6, CC6.7"
DCF-78,Storage Buckets are Versioned,Storage buckets that contain customer data are versioned.,Does the organization retain previous versions of baseline configuration to support roll back?,,,,Not Ready,"C1.1, C1.2"
DCF-108,Storage of Sensitive Data on Paper,Nexelus places paper documents containing sensitive data in a secured storage bin,Does the organization store paper documents with sensitive information in secured storage bins?,,,,Not Ready,C1.2
DCF-10,System Access Control Policy,Nexelus has a defined System Access Control Policy that requires annual access control reviews to be conducted and access request forms be filled out for new hires and employee transfers.,Does the organization enforce controls related to the granting or revoking of access to sensitive systems and/or applications?,"1. New hire checklist includes access request form
2. Employee role changes require new access request form",,,Ready,"CC6.3, CC6.2, CC4.1"
DCF-69,System Access Granted,Appropriate levels of access to infrastructure and code review tools are granted to new employees within one week of their start date.,Does the organization require internal and third-party users to sign appropriate access agreements or requests prior to being granted access?,"1. New hire checklist includes access request form
2. Employee role changes require new access request form",,,Ready,"C1.1, CC6.1, CC6.2, CC6.3, PI1.5"
DCF-111,System Edits,Nexelus system edits require mandatory fields to be complete before record entry is accepted.,Does the organization require mandatory fields to be completed before record entry is submitted within the application?,,,,Not Ready,"PI1.1, PI1.2"
DCF-70,Terminated Employee Access Revoked Within One Business Day,Access to infrastructure and code review tools is removed from terminated employees within one business day.,"Does the organization expedite the process of removing ""high risk"" individual’s access to systems and applications upon termination, as determined by management?",,,,Ready,"CC6.2, CC6.3"
DCF-43,Termination/Offboarding Checklist,"A termination checklist is used to ensure that system access, including physical access, for terminated employees has been removed within one specified time",Does the organization govern the termination of individual employment?,"1. Termination checklist includes removal of system access, destruction and wiping of sensitive information, hardware, etc.",,,Ready,"C1.2, CC6.2, CC6.3, CC6.4, CC6.5, P4.3"
DCF-104,Test Data Used in Test Environment,Nexelus uses test data within test environments.,Does the organization use only test data within its test environments?,,,,Not Ready,C1.1
DCF-118,Third Party Reliability,"Nexelus's management confirms that third parties from whom personal information is collected (that is, sources other than the individual) are reliable sources that collect information fairly and lawfully.",Does the organization's management confirm that third parties from whom personal information is collected are reliable sources of information collecting information fairly and lawfully?,,,,Not Ready,P3.1
DCF-130,Tracking Breaches of PII,Nexelus tracks and logs breaches involving unauthorized uses and disclosures of personal information in an incident tracking system.,Does the organization log breaches involving unauthorized uses and disclosures of personal information?,,,,Not Ready,P6.3
DCF-133,Unauthorized Disclosures by 3rd Parties,Nexelus requires vendors and third parties with access to personal information to sign a formal contract that requires them to notify Nexelus in the event of actual or suspected unauthorized disclosures of personal information,Does the organization require third parties to sign a formal contract that requires them to notify the company in the event of any suspected disclosures of personal information?,,,,Ready,P6.5
DCF-71,Unique Accounts Used,"Access to corporate network, production machines, network devices, and support tools requires a unique ID.",Does the organization have controls in place to ensure that accounts are unique to an individual employee and not shared across multiple employees?,,,,Ready,"CC6.1, CC6.2, CC6.3"
DCF-72,Unique SSH,"SSH users use unique accounts to access production machines. Additionally, the use of the “Root” account is not allowed.",Does the organization have controls in place to ensure that accounts are unique to an individual employee and not shared across multiple employees?,,,,Not Ready,"CC6.6, CC6.7"
DCF-125,Users Can Access All Their Information,Users can access all of their personal information through the application by navigating to their settings and profile.,Does the organization ensure that users can access all of their information through the application?,,,,Not Ready,"P5.1, P6.7"
DCF-126,Users Can Update their Information,"Users can correct, amend, or append their personal information by logging into the application and navigating to their settings and profile.","Does the organization provide the ability for users to correct, amend, or append their personal information?",,,,Not Ready,"P7.1, P5.2"
DCF-56,Vendor Agreements Maintained,"Nexelus maintains a directory of its key vendors, including its agreements that specify terms, conditions and responsibilities.","Does the organization monitor, regularly review and audit supplier service delivery for compliance with established contract agreements?",,,,Ready,"P6.2, CC9.2, CC6.4, CC4.2, CC4.1, CC3.4, CC3.2, CC2.3"
DCF-57,Vendor Compliance Reports,"Nexelus maintains a directory of its key vendors, including their compliance reports. Critical vendor compliance reports are reviewed annually.","Does the organization identify, regularly review and document third-party confidentiality, Non-Disclosure Agreements (NDAs) and other contracts that reflect the organization’s needs to protect systems and data?","1. Maintain vendor directory within Drata
2. Perform annual reviews of critical vendor compliance reports (review template provided by Drata if needed)",,,Ready,"P6.4, P6.2, CC9.2, CC6.4, CC3.2, CC2.3"
DCF-168,Vendor Management Policy,Nexelus has a defined vendor management policy that establishes requirements of ensuring third-party entities meet the organization's data preservation and protection requirements.,Does the organization have a process to ensure third-party compliance with its defined requirements to preserve and protect data?,Define an appropriate policy to ensure external parties conform to the organization's information security requirements,,,Ready,"P6.5, P6.4, P6.2, CC9.2, CC3.4, CC3.2, CC2.3, CC1.4"
DCF-132,Vendors and PHI,Nexelus ensures that vendors and third parties with access to protected health information (PHI) are required to sign a Business Associate Agreement (BAA) on an annual basis.,Does the organization ensure vendors and third parties with access to PHI are required to sign a BAA on an annual basis?,,,,Ready,P6.4
DCF-4,Version Control System,"Nexelus uses a version control system to manage source code, documentation, release labeling, and other change management tasks. Access to the system must be approved by a system admin.",Does the organization utilize version control software to govern the technical configuration change control processes?,"Use a version control system to manage source code.
Ensure access to the system is approved by an admin.",,,Ready,"CC6.1, CC7.1, CC8.1"
DCF-152,Virtual Machine OS are Patched Monthly,Nexelus ensures that virtual machine OS patches are applied monthly.,Does the organization ensure the integrity of virtual machine images at all times?,1. Apply OS patches on virtual machines monthly,,,Not Ready,CC6.8
DCF-92,VPN Required for Production Access,Users can only access the production system remotely through the use of encrypted communication systems.,Does the organization enforce encrypted communication systems to access production systems remotely?,,,,Not Ready,"C1.1, CC6.1, CC6.6"
DCF-88,Web Application Firewall,WAF in place to protect Nexelus's application from outside threats.,Does the organization deploy Web Application Firewalls (WAFs) to provide defense-in-depth protection for application-specific threats?,Web Application Firewall (WAF),,,Not Ready,CC6.6
